id	replacement
3838851	807842
3838879	73394
3967744	5233572
3967731	878767
3838431	274267
3885708	993043
3885706	814820
3885705	630121
3885704	744360
3885718	630119
3885722	1060796
3885727	78813
3885726	773564
3885725	119596
3885729	630105
3885733	630107
3885732	630116
3885735	773560
3885738	383675
3659806	570385
138046	1089922
2984021	1050486
2984131	5091388
3791378	588232
3791382	796903
335772	335771
335773	335771
876073	3623782
3837052	986314
3837138	717386
335017	4130726
3880237	104603
3837433	58249
3880308	677014
3880316	52316
3837255	910598
3405404	716758
3837375	3132
3837392	302639
3837321	706179
3837805	287852
3837874	443547
3880782	990794
3880796	672779
3880877	672772
3880446	47118
139169	5031578
636791	3755590
636790	3755453
3790712	1056866
3790877	234635
139770	1057794
3790379	5221642
740283	4085772
3836032	959437
3836031	123433
3836037	286192
3836298	52429
4603361	990554
3836303	476381
3291153	124842
740069	2884815
4603351	789287
3023352	132655
3793411	269887
3023369	113903
3023361	430315
2982169	923661
2982172	815721
2982187	816499
3793873	953358
3793881	4084044
3835731	368480
2982697	278241
2982689	493616
2982664	359786
3793627	79466
3793606	225153
3835549	52650
3835400	462903
3793709	79478
4420723	616209
4089339	546894
3882497	490053
3882499	5145205
3882558	371055
3882224	656603
3882238	38100
3882258	984392
4932687	38265
3882000	708716
4088392	47175
3882050	134433
3882051	855052
3882066	302355
3882068	913855
3882115	112040
3882105	5145219
3835325	1025500
2868249	282380
2981517	331167
2981513	1246
2868520	416687
3835020	187447
2868475	15285
2981762	689524
3882932	183948
2868719	507568
2868736	402108
2868735	329549
2868731	888341
3794396	37949
2981865	791672
3882982	980292
3882807	433243
3882716	785890
3794000	154054
2983582	285706
3834996	655828
3834911	66622
3880906	678487
3880975	338165
3880935	243356
3880943	155313
3880951	736759
3880958	338163
3880969	338170
873278	4234098
2983709	285716
3451430	677258
3792554	556529
361694	812616
3792594	136781
3792856	713542
3792846	32963
2983040	751046
3881299	60549
3881260	712499
3881223	341138
3293975	205517
4089702	340448
3293861	126976
3881807	240333
3881808	315696
3881859	112039
3881759	708712
3881903	832975
3881973	134436
3881972	134435
3881866	134437
3881883	708709
3881999	708714
2869550	64743
4605397	5224909
336092	590165
3881674	397835
1095870	2813802
2980284	735432
2980450	129423
2980465	482550
2980469	367659
4423341	576152
3698223	542823
3698425	293511
3698563	293500
3698586	904095
3698577	499597
3014344	384378
3014506	1045601
4653108	575708
738752	5146785
3014048	78525
3014072	652484
3697408	827278
2981085	664121
3697096	397621
3704962	370284
4167754	614148
325800	527449
866270	3696743
3704271	1000300
3704275	471841
3704289	6403
4609549	1094421
3620247	414592
3620231	262673
3704247	849981
3704245	642749
3704414	942309
3704427	505010
3704443	624705
3704440	363396
3704371	51635
3704374	164077
3704376	271923
3704362	22144
3704344	361809
3650458	615111
3650435	350762
3704548	430391
3650321	1032856
3650315	1032857
3650335	812946
3620542	46157
3620541	720479
3620535	749323
3620531	720481
3696394	53416
4336090	390216
4652990	917189
3696832	365235
3696788	918897
2980034	745462
2980031	481323
4336394	1017207
3696654	336312
3696590	536981
3696527	416611
3696502	934011
3696507	115518
3696557	822573
5053617	327465
4425921	1027725
3011722	649288
4923421	657198
4923371	522488
4425799	706511
326084	4945808
4656253	541307
4923809	975384
3703877	985446
4656512	610085
3703984	262200
3703739	367788
3621891	59556
3621828	261882
3621866	558494
3651952	958063
3621984	777641
2932456	474204
676660	1004256
3703179	688582
3703034	664934
3703026	934664
3703028	459352
365732	5149237
3621636	306923
3750747	3772424
4039256	858891
3750647	3773868
3409710	420867
3012265	37992
3699962	552838
97263	867206
3409395	992029
3588726	46562
3588754	222033
3407477	952029
3699135	343692
3588381	457234
4922141	378418
4922139	325923
3588297	1091905
3699232	412515
3702437	523797
3651963	175517
3702064	483464
864563	782521
3702218	137089
3702233	888943
3652913	20549
3652902	362820
3652904	213561
3622815	108989
3622985	466530
3622994	144218
677985	157953
3622707	818733
3652420	939097
5052915	821039
3622505	242538
3589475	1019411
735804	148807
3408700	762298
3652087	924454
3622011	3261
4680260	802065
3013846	896442
3698654	904100
3698685	855271
4333139	529115
869624	4061566
3064753	390712
3752579	232273
3752576	232279
3587448	849475
4658161	4194086
3165044	219635
3587656	362933
3064312	3064381
2930700	1053026
674833	3037010
3653115	957425
3653185	319419
3752684	953418
734770	3986960
329545	4004444
734256	478745
2863503	272902
2863715	796221
2863716	140196
2863888	459248
4929225	550299
2863965	1045145
2930298	794761
2930299	794762
4929108	944820
2930467	552454
2861849	255556
2861740	695320
2861637	107748
2861638	681777
2861602	362542
2861613	887188
2861617	887186
4657338	526716
3586075	27755
3586161	141387
369549	812327
4332123	453910
3751360	427547
3751389	228911
733448	4040120
3708717	981644
3751518	474645
3654859	5223808
3654881	318679
4928741	867379
4928657	67752
3654743	148394
4928515	589922
2862305	407228
4928563	94513
4928575	424761
