name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Lysipomia pumilia	|	74764	|	misspelling	|	Lysipomia pumilia (synonym for Lysipomia pumila)	|	ncbi:74764	|	
Lysipomia ollgaardii	|	74763	|	misspelling	|	Lysipomia ollgaardii (synonym for Lysipomia oellgaardii)	|	ncbi:74763	|	
Lysipomia hutchinsonii	|	74756	|	misspelling	|	Lysipomia hutchinsonii (synonym for Lysipomia hutchisonii)	|	ncbi:74756	|	
Lysipomia mitsii	|	1629609	|	misspelling	|	Lysipomia mitsii (synonym for Lysipomia sp. MK-2015)	|	ncbi:1629609	|	
Lysipomia sp. Sylvester 1417	|	1629609	|	includes	|	Lysipomia sp. Sylvester 1417 (synonym for Lysipomia sp. MK-2015)	|	ncbi:1629609	|	
Roella amplexcaulis	|	379289	|	misspelling	|	Roella amplexcaulis (synonym for Roella amplexicaulis)	|	ncbi:379289	|	
Trodanis perfoliata	|	284232	|	misspelling	|	Trodanis perfoliata (synonym for Triodanis perfoliata)	|	ncbi:284232	|	
Triodanis perfoliata subsp. biflora	|	1241231	|	synonym	|	Triodanis perfoliata subsp. biflora (synonym for Triodanis biflora)	|	ncbi:1241231	|	
Lobelia nummularia	|	368691	|	synonym	|	Lobelia nummularia (synonym for Pratia nummularia)	|	ncbi:368691	|	
Lobelia purpurascens	|	368692	|	synonym	|	Lobelia purpurascens (synonym for Pratia purpurascens)	|	ncbi:368692	|	
Lobelia angulata	|	85225	|	synonym	|	Lobelia angulata (synonym for Pratia angulata)	|	ncbi:85225	|	
Heterocodon rariflorus	|	239447	|	misspelling	|	Heterocodon rariflorus (synonym for Heterocodon rariflorum)	|	ncbi:239447	|	
Prismatocarpus schlecteri	|	379278	|	misspelling	|	Prismatocarpus schlecteri (synonym for Prismatocarpus schlechteri)	|	ncbi:379278	|	
Prismatocarpu fruticosus	|	519297	|	misspelling	|	Prismatocarpu fruticosus (synonym for Prismatocarpus fruticosus)	|	ncbi:519297	|	
Nemacladus ramosissmus	|	28493	|	misspelling	|	Nemacladus ramosissmus (synonym for Nemacladus ramosissimus)	|	ncbi:28493	|	
Microcodon glomeratum	|	380126	|	synonym	|	Microcodon glomeratum (synonym for Microcodon glomeratus)	|	ncbi:380126	|	
Microcodon hispidulum	|	1348684	|	synonym	|	Microcodon hispidulum (synonym for Microcodon hispidulus)	|	ncbi:1348684	|	
Siphocampylus manettiaeflorus	|	649686	|	synonym	|	Siphocampylus manettiaeflorus (synonym for Siphocampylus manettiiflorus)	|	ncbi:649686	|	
Siphocampylus longipedunculatus	|	1582631	|	synonym	|	Siphocampylus longipedunculatus (synonym for Siphocampylus longepedunculatus)	|	ncbi:1582631	|	
Siphocampylus betulaefolius	|	1582613	|	synonym	|	Siphocampylus betulaefolius (synonym for Siphocampylus betulifolius)	|	ncbi:1582613	|	
Siphocampylus jelksii	|	1582629	|	misspelling	|	Siphocampylus jelksii (synonym for Siphocampylus jelskii)	|	ncbi:1582629	|	
Siphocampylus corymbiferus	|	1445454	|	synonym	|	Siphocampylus corymbiferus (synonym for Siphocampylus corymbifer)	|	ncbi:1445454	|	
Siphocampylus membraceus	|	1582634	|	misspelling	|	Siphocampylus membraceus (synonym for Siphocampylus membranaceus)	|	ncbi:1582634	|	
Siphocampylus angustifolius	|	1582608	|	misspelling	|	Siphocampylus angustifolius (synonym for Siphocampylus angustiflorus)	|	ncbi:1582608	|	
Siphocampylus ecuadoriensis	|	434401	|	synonym	|	Siphocampylus ecuadoriensis (synonym for Siphocampylus ecuadorensis)	|	ncbi:434401	|	
Siphocampylus rosmarinfolius	|	1582643	|	misspelling	|	Siphocampylus rosmarinfolius (synonym for Siphocampylus rosmarinifolius)	|	ncbi:1582643	|	
Wahlenbergia guthriei	|	519302	|	synonym	|	Wahlenbergia guthriei (synonym for Theilera guthriei)	|	ncbi:519302	|	
Adenophora divariacata	|	82271	|	misspelling	|	Adenophora divariacata (synonym for Adenophora divaricata)	|	ncbi:82271	|	
Adenophora Adenophora polyantha	|	226225	|	misspelling	|	Adenophora Adenophora polyantha (synonym for Adenophora polyantha)	|	ncbi:226225	|	
Adenophora lamarkii	|	1049772	|	synonym	|	Adenophora lamarkii (synonym for Adenophora lamarckii)	|	ncbi:1049772	|	
Adenophora bulleyana	|	1268213	|	synonym	|	Adenophora bulleyana (synonym for Adenophora khasiana)	|	ncbi:1268213	|	
Adenophora lilifolia	|	361368	|	misspelling	|	Adenophora lilifolia (synonym for Adenophora liliifolia)	|	ncbi:361368	|	
