name	|	uid	|	type	|	uniqname	|	
Cicerbita alpina (L.) Wallr.	|	155229	|		|	Cicerbita alpina (L.) Wallr. (synonym for Cicerbita alpina)	|	
Ptilophora major	|	734680	|		|	Ptilophora major (synonym for Microseris nutans)	|	
Carduus centauroides	|	82717	|		|	Carduus centauroides (synonym for Klasea centauroides)	|	
Packera glabella (Poir) C.Jeffrey	|	538440	|		|	Packera glabella (Poir) C.Jeffrey (synonym for Packera glabella)	|	
Artemisia macilenta (Maxim.) Krasch.	|	353948	|		|	Artemisia macilenta (Maxim.) Krasch. (synonym for Artemisia macilenta)	|	
Barkhausia radicata	|	674071	|		|	Barkhausia radicata (synonym for Crepis foetida)	|	
Cacosmia hieronymus	|	882409	|		|	Cacosmia hieronymus (synonym for Cacosmia hieronymi)	|	
Artemisia tridentata subsp. spiciformis	|	744286	|		|	Artemisia tridentata subsp. spiciformis (synonym for Artemisia spiciformis)	|	
Wahlenbergia androsacea A.DC.	|	810134	|		|	Wahlenbergia androsacea A.DC. (synonym for Wahlenbergia androsacea)	|	
Chrysopsis mariana (L.) Elliott	|	752311	|		|	Chrysopsis mariana (L.) Elliott (synonym for Chrysopsis mariana)	|	
Ixeridium alpicola (Takeda) Pak & Kawano	|	735989	|		|	Ixeridium alpicola (Takeda) Pak & Kawano (synonym for Ixeridium alpicola)	|	
Alberta fleabane	|	934721	|		|	Alberta fleabane (synonym for Erigeron trifidus)	|	
Ligularia websteri	|	238699	|		|	Ligularia websteri (synonym for Senecio neowebsteri)	|	
Centaurium alatum	|	193978	|		|	Centaurium alatum (synonym for Centaurea behen)	|	
Leontodon bernus	|	408361	|		|	Leontodon bernus (synonym for Scorzoneroides salzmannii)	|	
Kuhnia elliptica	|	970491	|		|	Kuhnia elliptica (synonym for Brickellia eupatorioides)	|	
Aster forwoodii	|	962205	|		|	Aster forwoodii (synonym for Eurybia conspicua)	|	
Garhadiolus scaberrimus	|	3896708	|		|	Garhadiolus scaberrimus (synonym for Garhadiolus papposus)	|	
Absinthium virgatum	|	667087	|		|	Absinthium virgatum (synonym for Artemisia alba)	|	
Anthemis davisii Yavin	|	499643	|		|	Anthemis davisii Yavin (synonym for Anthemis davisii)	|	
Crinitaria linosyris	|	294916	|		|	Crinitaria linosyris (synonym for Galatella linosyris)	|	
Taraxacum lobulatum	|	3895948	|		|	Taraxacum lobulatum (synonym for Taraxacum neolobulatum)	|	
Lobelia decipiens	|	3892573	|		|	Lobelia decipiens (synonym for Monopsis decipiens)	|	
Psilostrophe cooperi (A.Gray) Greene	|	324805	|		|	Psilostrophe cooperi (A.Gray) Greene (synonym for Psilostrophe cooperi)	|	
