uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
314134	|	169193	|	Tarchonanthus trilobus	|	species	|	ncbi:112412	|		|		|	
418360	|	169193	|	Tarchonanthus camphoratus	|	species	|	ncbi:41650	|		|		|	
513915	|	5682	|	Brachylaena	|	genus	|	ncbi:130238,gbif:3140958	|		|		|	
17910	|	513915	|	Brachylaena elliptica	|	species	|	ncbi:459735	|		|		|	
349982	|	513915	|	Brachylaena ilicifolia	|	species	|	ncbi:1158811	|		|		|	
974962	|	513915	|	Brachylaena transvaalensis	|	species	|	ncbi:992654	|		|		|	
513913	|	513915	|	Brachylaena discolor	|	species	|	ncbi:130239	|		|		|	
5232403	|	513913	|	Brachylaena discolor var. rotundata	|	varietas	|	ncbi:1237404	|		|	infraspecific	|	
990489	|	513915	|	Brachylaena huillensis	|	species	|	ncbi:493952	|		|		|	
1008606	|	513915	|	Brachylaena neriifolia	|	species	|	ncbi:379209	|		|		|	
139114	|	527107	|	Dicomeae	|	tribe	|	ncbi:219097	|		|	sibling_lower	|	
263315	|	139114	|	Pasaccardoa	|	genus	|	ncbi:130291,gbif:3093495	|		|		|	
263313	|	263315	|	Pasaccardoa procumbens	|	species	|	ncbi:130292	|		|		|	
477748	|	263315	|	Pasaccardoa jeffreyi	|	species	|	ncbi:1184240	|		|		|	
631393	|	263315	|	Pasaccardoa baumii	|	species	|	ncbi:1184239	|		|		|	
892238	|	263315	|	Pasaccardoa grantii	|	species	|	ncbi:496642	|		|		|	
564574	|	139114	|	Dicoma	|	genus	|	ncbi:130251,gbif:3103338	|		|		|	
957612	|	564574	|	Dicoma picta	|	species	|	ncbi:379224	|		|		|	
470131	|	564574	|	Dicoma welwitschi	|	species	|	ncbi:1184230	|		|		|	
729181	|	564574	|	Dicoma sp. JLP-2008	|	species	|	ncbi:496623	|		|		|	
648125	|	564574	|	Dicoma capensis	|	species	|	ncbi:496622,gbif:3103369	|		|		|	
1046697	|	564574	|	Dicoma tomentosa	|	species	|	ncbi:1184229	|		|		|	
1046699	|	564574	|	Dicoma paivae	|	species	|	ncbi:1184228	|		|		|	
1046702	|	564574	|	Dicoma anomala	|	species	|	ncbi:1184223	|		|		|	
1046705	|	564574	|	Dicoma elegans	|	species	|	ncbi:1184225	|		|		|	
1046707	|	564574	|	Dicoma antunesii	|	species	|	ncbi:1184224	|		|		|	
1046709	|	564574	|	Dicoma fruticosa	|	species	|	ncbi:1184227	|		|		|	
1046711	|	564574	|	Dicoma foliosa	|	species	|	ncbi:1184226	|		|		|	
3893968	|	564574	|	Dicoma schimperi	|	species	|	gbif:3103348	|		|		|	
846102	|	139114	|	Macledium	|	genus	|	ncbi:378880,gbif:3140830	|		|		|	
375539	|	846102	|	Macledium zeyheri	|	species	|	ncbi:496638	|		|		|	
470121	|	846102	|	Macledium salignum	|	species	|	ncbi:1184236	|		|		|	
470125	|	846102	|	Macledium plantaginifolium	|	species	|	ncbi:1184234	|		|		|	
470129	|	846102	|	Macledium gossweileri	|	species	|	ncbi:1184233	|		|		|	
631374	|	846102	|	Macledium poggei	|	species	|	ncbi:1184235	|		|		|	
874577	|	846102	|	Macledium spinosum	|	species	|	ncbi:378881	|		|		|	
920274	|	139114	|	Pleiotaxis	|	genus	|	ncbi:741992,gbif:3092632	|		|		|	
996672	|	920274	|	Pleiotaxis huillensis	|	species	|	ncbi:1184243	|		|		|	
996675	|	920274	|	Pleiotaxis antunesii	|	species	|	ncbi:1184242	|		|		|	
996677	|	920274	|	Pleiotaxis angolensis	|	species	|	ncbi:1184241	|		|		|	
996680	|	920274	|	Pleiotaxis selina	|	species	|	ncbi:1184247	|		|		|	
996682	|	920274	|	Pleiotaxis rugosa	|	species	|	ncbi:1184246	|		|		|	
996684	|	920274	|	Pleiotaxis racemosa	|	species	|	ncbi:1184245	|		|		|	
477751	|	920274	|	Pleiotaxis pulcherrima	|	species	|	ncbi:1184244	|		|		|	
996689	|	920274	|	Pleiotaxis welwitschii	|	species	|	ncbi:1184249	|		|		|	
996692	|	920274	|	Pleiotaxis subpaniculata	|	species	|	ncbi:1184248	|		|		|	
920276	|	139114	|	Erythrocephalum	|	genus	|	ncbi:741993,gbif:3109899	|		|		|	
470127	|	920276	|	Erythrocephalum scabrifolium	|	species	|	ncbi:1184232	|		|		|	
470133	|	920276	|	Erythrocephalum marginatum	|	species	|	ncbi:1184231	|		|		|	
920278	|	139114	|	Cloiselia	|	genus	|	ncbi:741991,gbif:3089131	|		|		|	
564566	|	920278	|	Cloiselia carbonaria	|	species	|	ncbi:130254	|		|		|	
786248	|	920278	|	Cloiselia madagascariensis	|	species	|	ncbi:1184222	|		|		|	
308107	|	527107	|	Carduoideae incertae sedis	|	no rank	|	ncbi:220705	|		|	not_otu,incertae_sedis_direct,barren	|	
557760	|	527107	|	Cardueae	|	tribe	|	ncbi:102818	|		|	sibling_lower	|	
54957	|	557760	|	Echinopsinae	|	subtribe	|	ncbi:742009	|		|		|	
182570	|	54957	|	Acantholepis	|	genus	|	ncbi:143168	|		|		|	
182566	|	182570	|	Acantholepis orientalis	|	species	|	ncbi:143169,gbif:5392847	|		|		|	
