name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Glossocomia	|	3165850	|	synonym	|	Glossocomia (synonym for Codonopsis)	|	gbif:3165850	|	
Rhizocephalum	|	3166024	|	synonym	|	Rhizocephalum (synonym for Lysipomia)	|	gbif:3166024	|	
Dominella	|	3166024	|	synonym	|	Dominella (synonym for Lysipomia)	|	gbif:3166024	|	
Byrsanthes	|	3168383	|	synonym	|	Byrsanthes (synonym for Siphocampylus)	|	gbif:3168383	|	
Campylosiphon	|	3168383	|	synonym	|	Campylosiphon (synonym for Siphocampylus)	|	gbif:3168383	|	
Cremochilus	|	3168383	|	synonym	|	Cremochilus (synonym for Siphocampylus)	|	gbif:3168383	|	
Homocodon	|	3168964	|	synonym	|	Homocodon (synonym for Heterocodon)	|	gbif:3168964	|	
Rapunculus	|	3166599	|	synonym	|	Rapunculus (synonym for Phyteuma)	|	gbif:3166599	|	
Muehlbergella	|	3164387	|	synonym	|	Muehlbergella (synonym for Edraianthus)	|	gbif:3164387	|	
Halacsyella	|	3164387	|	synonym	|	Halacsyella (synonym for Edraianthus)	|	gbif:3164387	|	
Hedraeanthus	|	3164387	|	synonym	|	Hedraeanthus (synonym for Edraianthus)	|	gbif:3164387	|	
Leptocodon	|	3161902	|	synonym	|	Leptocodon (synonym for Treichelia)	|	gbif:3161902	|	
Gadellia	|	3161935	|	synonym	|	Gadellia (synonym for Campanula)	|	gbif:3161935	|	
Rapuntia	|	3161935	|	synonym	|	Rapuntia (synonym for Campanula)	|	gbif:3161935	|	
Medium	|	3161935	|	synonym	|	Medium (synonym for Campanula)	|	gbif:3161935	|	
Symphyandra	|	3161935	|	synonym	|	Symphyandra (synonym for Campanula)	|	gbif:3161935	|	
Echinocodon	|	3161935	|	synonym	|	Echinocodon (synonym for Campanula)	|	gbif:3161935	|	
Brachycodon	|	3161935	|	synonym	|	Brachycodon (synonym for Campanula)	|	gbif:3161935	|	
Pseudocampanula	|	3161935	|	synonym	|	Pseudocampanula (synonym for Campanula)	|	gbif:3161935	|	
Sicyocodon	|	3161935	|	synonym	|	Sicyocodon (synonym for Campanula)	|	gbif:3161935	|	
Neocodon	|	3161935	|	synonym	|	Neocodon (synonym for Campanula)	|	gbif:3161935	|	
Fedorovia	|	3161935	|	synonym	|	Fedorovia (synonym for Campanula)	|	gbif:3161935	|	
Rotantha	|	3161935	|	synonym	|	Rotantha (synonym for Campanula)	|	gbif:3161935	|	
Mzymtella	|	3161935	|	synonym	|	Mzymtella (synonym for Campanula)	|	gbif:3161935	|	
Campanulastrum	|	3161935	|	synonym	|	Campanulastrum (synonym for Campanula)	|	gbif:3161935	|	
Annaea	|	3161935	|	synonym	|	Annaea (synonym for Campanula)	|	gbif:3161935	|	
Hyssaria	|	3161935	|	synonym	|	Hyssaria (synonym for Campanula)	|	gbif:3161935	|	
Sicyodon	|	3161935	|	synonym	|	Sicyodon (synonym for Campanula)	|	gbif:3161935	|	
