Taxon  ,Current Parent,Proposed Parent,Reference,Notes,,,http://ec2-54-212-144-245.us-west-2.compute.amazonaws.com/opentree/argus/otol.draft.22@4/cellular-organisms
Difamus,Protozoa,incertae,,,,,
Ellobiospidae,Protozoa,incertae,,,,,
Stephanomonas,Protozoa,incertae,,,,,
Luffisphaera,Protozoa,incertae,,,,,
Strangfordia,Protozoa,incertae,,,,,
Meteora,Protozoa,incertae,,,,,
Jakobaceae,Protozoa,Jakobida,NCBI,,,,
Laminolithus,Protozoa,incertae,,,,,
Trichomastix,Protozoa,incertae,,,,,
Acusmonas,Protozoa,incertae,,,,,
Kolbeana,Protozoa,incertae,,,,,
Subrhynchopus,Protozoa,incertae,,,,,
Leptospironmypha,Protozoa,incertae,,,,,
Lepocynclis,Protozoa,incertae,,,,,
Leptocinclis,Protozoa,incertae,,,,,
Dismorphococcus,Protozoa,incertae,,,,,
Parammodochium,Protozoa,incertae,,,,,
Alstoniamitus,Protozoa,incertae,,,,,
Zygolithites,Protozoa,incertae,,,,,
Paradevescovina,Protozoa,incertae,,,,,
Paradicheopsis,Protozoa,incertae,,,,,
Sporozoa,Protozoa,Apicomplexa,,,,,
Pellitidae,Protozoa,incertae,,,,,
Labyrinthista,Protozoa,incertae,,,,,
Sarcomastigophora,Protozoa,incertae,,,,,
Pacillina,Protozoa,incertae,,,,,
Cavosteliidae,Protozoa,incertae,,,,,
Coccolithophora,Protozoa,Coccosphaerales ,,,,,
Photocystis,Protozoa,incertae,,,,,
Paramylomonas,Protozoa,incertae,,,,,
Parastasia,Protozoa,incertae,,,,,
Bosporella,Protozoa,incertae,,,,,
Gliothrix,Protozoa,incertae,,,,,
Euglenostigmanopsis,Protozoa,incertae,,,,,
Heteromitus,Protozoa,Heteromitidae,NCBI,,,,
Maissisteria,Protozoa,Cercomonadidae,NCBI,,,,
Cannapilus,Protozoa,incertae,,,,,
Castasioides,Protozoa,incertae,,,,,
Hemiastasia,Protozoa,incertae,,,,,
Pelagolithus,Protozoa,incertae,,,,,
Caullerya,Protozoa,incertae,,,,,
Granuloreticulosea,Protozoa,Foraminifera,,,,,
